,FILM_NAME,FILM_YEAR,RATING,FILM_LINK,ACTOR_ID
52,"The Libertine - Sex, Drugs & Rococo",2004,6.2,https://www.imdb.com/title/tt0375920/?ref_=nm_flmg_i_51_act,0
53,Wenn Träume fliegen lernen,2004,7.7,https://www.imdb.com/title/tt0308644/?ref_=nm_flmg_i_52_act,0
54,Happy End mit Hindernissen,2004,6.4,https://www.imdb.com/title/tt0381270/?ref_=nm_flmg_i_53_act,0
55,King of the Hill,1997–2010,7.5,https://www.imdb.com/title/tt0118375/?ref_=nm_flmg_i_54_act,0
56,Das geheime Fenster,2004,6.5,https://www.imdb.com/title/tt0363988/?ref_=nm_flmg_i_55_act,0
57,Irgendwann in Mexico,2003,6.3,https://www.imdb.com/title/tt0285823/?ref_=nm_flmg_i_56_act,0
58,Fluch der Karibik,2003,8.1,https://www.imdb.com/title/tt0325980/?ref_=nm_flmg_i_57_act,0
59,From Hell,2001,6.7,https://www.imdb.com/title/tt0120681/?ref_=nm_flmg_i_58_act,0
60,Blow,2001,7.5,https://www.imdb.com/title/tt0221027/?ref_=nm_flmg_i_59_act,0
61,The Fast Show,1994–2014,8.2,https://www.imdb.com/title/tt0108771/?ref_=nm_flmg_i_60_act,0
62,Chocolat... ein kleiner Biss genügt!,2000,7.3,https://www.imdb.com/title/tt0241303/?ref_=nm_flmg_i_61_act,0
63,Bevor es Nacht wird,2000,7.2,https://www.imdb.com/title/tt0247196/?ref_=nm_flmg_i_62_act,0
64,In stürmischen Zeiten,2000,6.1,https://www.imdb.com/title/tt0206917/?ref_=nm_flmg_i_63_act,0
65,Sleepy Hollow,1999,7.3,https://www.imdb.com/title/tt0162661/?ref_=nm_flmg_i_64_act,0
66,The Astronaut's Wife - Das Böse hat ein neues Gesicht,1999,5.4,https://www.imdb.com/title/tt0138304/?ref_=nm_flmg_i_65_act,0
67,Die neun Pforten,1999,6.7,https://www.imdb.com/title/tt0142688/?ref_=nm_flmg_i_66_act,0
68,The Vicar of Dibley,1994–2020,8.0,https://www.imdb.com/title/tt0108981/?ref_=nm_flmg_i_67_act,0
69,L.A. Without a Map,1998,6.1,https://www.imdb.com/title/tt0119565/?ref_=nm_flmg_i_68_act,0
70,Angst und Schrecken in Las Vegas,1998,7.5,https://www.imdb.com/title/tt0120669/?ref_=nm_flmg_i_69_act,0
71,Cannes Man,1997,5.1,https://www.imdb.com/title/tt0115818/?ref_=nm_flmg_i_70_act,0
72,The Brave,1997,6.2,https://www.imdb.com/title/tt0118768/?ref_=nm_flmg_i_71_act,0
73,Donnie Brasco,1997,7.7,https://www.imdb.com/title/tt0119008/?ref_=nm_flmg_i_72_act,0
74,Divine Rapture,1995,6.6,https://www.imdb.com/title/tt8391714/?ref_=nm_flmg_i_73_act,0
75,Gegen die Zeit,1995,6.3,https://www.imdb.com/title/tt0113972/?ref_=nm_flmg_i_74_act,0
76,The Smokin' Mojo Filters: Come Together,1995,7.1,https://www.imdb.com/title/tt6010812/?ref_=nm_flmg_i_75_act,0
77,Dead Man,1995,7.5,https://www.imdb.com/title/tt0112817/?ref_=nm_flmg_i_76_act,0
78,Shane MacGowan and the Popes: That Woman's Got Me Drinking,1994,6.8,https://www.imdb.com/title/tt8403886/?ref_=nm_flmg_i_77_act,0
79,Don Juan DeMarco,1994,6.7,https://www.imdb.com/title/tt0112883/?ref_=nm_flmg_i_78_act,0
80,Ed Wood,1994,7.8,https://www.imdb.com/title/tt0109707/?ref_=nm_flmg_i_79_act,0
81,Gilbert Grape - Irgendwo in Iowa,1993,7.7,https://www.imdb.com/title/tt0108550/?ref_=nm_flmg_i_80_act,0
82,Benny und Joon,1993,7.1,https://www.imdb.com/title/tt0106387/?ref_=nm_flmg_i_81_act,0
83,The Lemonheads: It's a Shame About Ray,1993,5.9,https://www.imdb.com/title/tt8416482/?ref_=nm_flmg_i_82_act,0
84,Arizona Dream,1993,7.2,https://www.imdb.com/title/tt0106307/?ref_=nm_flmg_i_83_act,0
85,A Nightmare on Elm Street 6: Freddy's Finale,1991,4.7,https://www.imdb.com/title/tt0101917/?ref_=nm_flmg_i_84_act,0
