,ACTOR_ID,AWARD_NAME,YEAR,OUTCOME,DESCRIPTION,FILM
6927,42,"National Film and Television Awards, USA",2019,Nominee - National Film and Television Award,Best Actress,Bird Box (2018)
6928,42,"National Film and Television Awards, USA",2018,Nominee - National Film and Television Award,Best Actress,Ocean's Eight (2018)
6929,42,North Carolina Film Critics Association,2014,Nominee - NCFCA Award,Best Actress,Gravity (2013)
6930,42,"North Texas Film Critics Association, US",2014,Winner - NTFCA Award,Best Actress,Gravity (2013)
6931,42,Online Film & Television Association,2014,Nominee - OFTA Film Award,Best Actress,Gravity (2013)
6932,42,Online Film & Television Association,2010,Nominee - OFTA Film Award,Best Actress,The Blind Side (2009)
6933,42,Palm Springs International Film Festival,2014,Winner - Desert Palm Achievement Award,Gravity (2013,Gravity (2013)
6934,42,"People's Choice Awards, USA",2018,Nominee - People's Choice Award,Favorite Female Movie Star,Ocean's Eight (2018)
6935,42,"People's Choice Awards, USA",2016,Winner - People's Choice Award,Favorite Movie Actres,
6936,42,"People's Choice Awards, USA",2016,Nominee - People's Choice Award,Favorite Animated Movie Voice,Minions (2015)
6937,42,"People's Choice Awards, USA",2014,Winner - People's Choice Award,Favorite Movie Actres,
6938,42,"People's Choice Awards, USA",2014,Winner - People's Choice Award,Favorite Movie Duo,Gravity (2013)
6939,42,"People's Choice Awards, USA",2014,Winner - People's Choice Award,Favorite Comedic Movie Actres,
6940,42,"People's Choice Awards, USA",2014,Winner - People's Choice Award,Favorite Dramatic Movie Actres,
6941,42,"People's Choice Awards, USA",2014,Nominee - People's Choice Award,Favorite Movie Duo,The Heat (2013)
6942,42,"People's Choice Awards, USA",2010,Winner - People's Choice Award,Favorite Movie Actres,
6943,42,"People's Choice Awards, USA",2010,Nominee - People's Choice Award,Favorite On-Screen Team,The Proposal (2009)
6944,42,"People's Choice Awards, USA",2008,Nominee - People's Choice Award,Favorite Female Movie Sta,
6945,42,"People's Choice Awards, USA",2007,Nominee - People's Choice Award,Favorite Female Movie Sta,
6946,42,"People's Choice Awards, USA",2006,Winner - People's Choice Award,Favorite Female Movie Sta,
6947,42,"People's Choice Awards, USA",2003,Nominee - People's Choice Award,Favorite Motion Picture Actres,
6948,42,"People's Choice Awards, USA",2000,Nominee - People's Choice Award,Favorite Motion Picture Actres,
6949,42,"People's Choice Awards, USA",1999,Winner - People's Choice Award,Favorite Motion Picture Actres,
6950,42,"People's Choice Awards, USA",1998,Nominee - People's Choice Award,Favorite Motion Picture Actres,
6951,42,"People's Choice Awards, USA",1997,Winner - People's Choice Award,Favorite Motion Picture Actres,
6952,42,"People's Choice Awards, USA",1996,Winner - People's Choice Award,Favorite Motion Picture Actres,
6953,42,Phoenix Film Critics Society Awards,2013,Nominee - PFCS Award,Best Actress in a Leading Role,Gravity (2013)
6954,42,Razzie Awards,2010,Winner - Razzie Award,Worst Actress,All About Steve (2009)
6955,42,Razzie Awards,2010,Winner - Razzie Award,Worst Screen Couple,All About Steve (2009)
6956,42,Razzie Awards,1998,Nominee - Razzie Award,Worst Actress,Speed 2: Cruise Control (1997)
6957,42,Razzie Awards,1998,Nominee - Razzie Award,Worst Screen Couple,Speed 2: Cruise Control (1997)
6958,42,Razzie Awards,1994,Nominee - Razzie Award,Worst Supporting Actress,Demolition Man (1993)
6959,42,Rembrandt Awards,2010,Winner - Rembrandt Award,Best International Actress (Beste Buitenlandse Actrice),The Proposal (2009)
6960,42,Russian National Movie Awards,2014,Nominee - Georges Award,Best Foreign Actress of the Yea,
6961,42,San Diego Film Critics Society Awards,2013,Nominee - SDFCS Award,Best Actress,Gravity (2013)
6962,42,San Diego Film Critics Society Awards,2009,Nominee - SDFCS Award,Best Actress,The Blind Side (2009)
6963,42,San Francisco Film Critics Circle,2013,Nominee - SFFCC Award,Best Actress,Gravity (2013)
6964,42,Santa Barbara International Film Festival,2010,Winner - American Riviera Award,,
6965,42,Satellite Awards,2014,Nominee - Satellite Award,Best Actress in a Motion Picture,Gravity (2013)
6966,42,Satellite Awards,2009,Nominee - Satellite Award,"Best Actress in a Motion Picture, Comedy or Musical",The Proposal (2009)
6967,42,Satellite Awards,2001,Nominee - Golden Satellite Award,"Best Performance by an Actress in a Motion Picture, Comedy or Musical",Miss Congeniality (2000)
6968,42,Screen Actors Guild Awards,2014,Nominee - Actor,Outstanding Performance by a Female Actor in a Leading Role,Gravity (2013)
6969,42,Screen Actors Guild Awards,2010,Winner - Actor,Outstanding Performance by a Female Actor in a Leading Role,The Blind Side (2009)
6970,42,Screen Actors Guild Awards,2006,Winner - Actor,Outstanding Performance by a Cast in a Motion Picture,Crash (2004)
6971,42,Seattle Film Critics Awards,2014,Nominee - Seattle Film Critics Award,Best Actress,Gravity (2013)
6972,42,"ShoWest Convention, USA",2001,Winner - ShoWest Award,Female Star of the Yea,
6973,42,"ShoWest Convention, USA",1996,Winner - ShoWest Award,Female Star of the Yea,
6974,42,"St. Louis Film Critics Association, US",2013,Nominee - SLFCA Award,Best Actress,Gravity (2013)
6975,42,Teen Choice Awards,2018,Nominee - Teen Choice Award,Choice Summer Movie Star: Female,Ocean's Eight (2018)
6976,42,Teen Choice Awards,2014,Nominee - Teen Choice Award,Choice Movie Actress: Drama,Gravity (2013)
6977,42,Teen Choice Awards,2013,Winner - Teen Choice Award,Choice Summer Movie Star: Female,The Heat (2013)
6978,42,Teen Choice Awards,2013,Winner - Teen Choice Award,Choice Movie: Chemistry,The Heat (2013)
6979,42,Teen Choice Awards,2012,Nominee - Teen Choice Award,Choice Movie Actress: Drama,Extremely Loud & Incredibly Close (2011)
6980,42,Teen Choice Awards,2010,Winner - Teen Choice Award,Choice Movie Actress: Drama,The Blind Side (2009)
6981,42,Teen Choice Awards,2010,Winner - Teen Choice Award,Choice Movie: Dance,The Proposal (2009)
6982,42,Teen Choice Awards,2010,Winner - Teen Choice Award,Choice Movie Actress: Romantic Comedy,The Proposal (2009)
6983,42,Teen Choice Awards,2010,Nominee - Teen Choice Award,Choice Movie: Chemistry,The Proposal (2009)
6984,42,Teen Choice Awards,2010,Nominee - Teen Choice Award,Choice Movie: Liplock,The Proposal (2009)
6985,42,Teen Choice Awards,2009,Nominee - Teen Choice Award,Choice Summer Movie Star: Female,The Proposal (2009)
6986,42,Teen Choice Awards,2006,Winner - Teen Choice Award,Movies - Choice Liplock,The Lake House (2006)
6987,42,Teen Choice Awards,2005,Winner - Teen Choice Award,Choice Movie Actress: Comedy,Miss Congeniality 2: Armed & Fabulous (2005)
6988,42,Teen Choice Awards,2005,Nominee - Teen Choice Award,Choice Movie Dance Scene,Miss Congeniality 2: Armed & Fabulous (2005)
6989,42,Teen Choice Awards,2003,Nominee - Teen Choice Award,Choice Movie Actress - Comedy,Two Weeks Notice (2002)
6990,42,Teen Choice Awards,2003,Nominee - Teen Choice Award,Choice Movie Hissy Fit,Two Weeks Notice (2002)
6991,42,Teen Choice Awards,2002,Nominee - Teen Choice Award,"Film - Choice Actress, Drama/Action Adventure",Divine Secrets of the Ya-Ya Sisterhood (2002)
6992,42,Teen Choice Awards,2001,Winner - Teen Choice Award,Film - Choice Wipeout,Miss Congeniality (2000)
6993,42,Teen Choice Awards,2001,Nominee - Teen Choice Award,Film - Choice Actress,Miss Congeniality (2000)
6994,42,Teen Choice Awards,2001,Nominee - Teen Choice Award,Film - Choice Hissy Fit,Miss Congeniality (2000)
6995,42,Teen Choice Awards,1999,Winner - Teen Choice Award,Film - Choice Hissy Fit,Forces of Nature (1999)
6996,42,The Stinkers Bad Movie Awards,2005,Nominee - Stinker Award,Worst Actress,Miss Congeniality 2: Armed & Fabulous (2005)
6997,42,The Stinkers Bad Movie Awards,2005,Nominee - Stinker Award,Less Than Dynamic Duo,Miss Congeniality 2: Armed & Fabulous (2005)
6998,42,The Stinkers Bad Movie Awards,1998,Nominee - Stinker Award,Most Annoying Fake Accent,Hope Floats (1998)
6999,42,The Stinkers Bad Movie Awards,1998,Nominee - Stinker Award,Most Annoying Fake Accent,Hope Floats (1998)
7000,42,Utah Film Critics Association Awards,2013,Nominee - UFCA Award,Best Actress,Gravity (2013)
7001,42,Vancouver Film Critics Circle,2014,Nominee - VFCC Award,Best Actress,Gravity (2013)
7002,42,Village Voice Film Poll,2013,Nominee - VVFP Award,Best Actress,Gravity (2013)
7003,42,Virginia Film Festival,2004,Winner - Virginia Film Award,,
7004,42,Walk of Fame,2005,Winner - Star on the Walk of Fame,Motion Picture,
7005,42,Washington DC Area Film Critics Association Awards,2013,Nominee - WAFCA Award,Best Actress,Gravity (2013)
7006,42,Washington DC Area Film Critics Association Awards,2009,Nominee - WAFCA Award,Best Actress,The Blind Side (2009)
7007,42,Women Film Critics Circle Awards,2021,Winner - WFCC Award,Best Female Action Hero,The Unforgivable (2021)
7008,42,Women Film Critics Circle Awards,2021,Winner - Courage in Acting Award,The Unforgivable (2021,The Unforgivable (2021)
7009,42,Women Film Critics Circle Awards,2021,Nominee - WFCC Award,Best Actress,The Unforgivable (2021)
7010,42,Women Film Critics Circle Awards,2013,Winner - Invisible Woman Award,Gravity (2013,Gravity (2013)
7011,42,Women in Film Crystal Awards,2005,Winner - Crystal Award,,
7012,42,Women's Image Network Awards,2013,Nominee - WIN Award,Outstanding Actress Feature Film,Gravity (2013)
7013,42,Women's Image Network Awards,2009,Winner - WIN Award,Outstanding Actress Feature Film,The Proposal (2009)
7014,42,Yoga Awards,2004,Winner - Yoga Award,Worst Foreign Actress,Two Weeks Notice (2002)
7015,42,Yoga Awards,1996,Winner - Yoga Award,Worst Foreign Actress,The Net (1995)
7016,43,"Academy of Science Fiction, Fantasy & Horror Films, USA",1999,Nominee - Saturn Award,Best Actress,City of Angels (1998)
7017,43,Alliance of Women Film Journalists,2006,Nominee - EDA Special Mention Award,Actress Most in Need of a New Agen,
7018,43,"American Comedy Awards, USA",1999,Nominee - American Comedy Award,Funniest Actress in a Motion Picture (Leading Role),You've Got Mail (1998)
7019,43,"American Comedy Awards, USA",1996,Nominee - American Comedy Award,Funniest Actress in a Motion Picture (Leading Role),French Kiss (1995)
7020,43,"American Comedy Awards, USA",1994,Winner - American Comedy Award,Funniest Actress in a Motion Picture (Leading Role),Sleepless in Seattle (1993)
7021,43,"American Comedy Awards, USA",1990,Winner - American Comedy Award,Funniest Actress in a Motion Picture (Leading Role),When Harry Met Sally... (1989)
7022,43,Annie Awards,1998,Nominee - Annie,Outstanding Individual Achievement for Voice Acting by a Female Performer in an Animated Feature Production,Anastasia (1997)
7023,43,Awards Circuit Community Awards,1993,Nominee - ACCA,Best Actress in a Leading Role,Sleepless in Seattle (1993)
7024,43,Bambi Awards,2008,Winner - Bambi,Best Actress - International,The Women (2008)
7025,43,Blockbuster Entertainment Awards,2001,Nominee - Blockbuster Entertainment Award,Favorite Actress - Suspense,Proof of Life (2000)
7026,43,Blockbuster Entertainment Awards,1999,Winner - Blockbuster Entertainment Award,Favorite Actress - Comedy/Romance,You've Got Mail (1998)
7027,43,Blockbuster Entertainment Awards,1999,Nominee - Blockbuster Entertainment Award,Favorite Actress - Drama/Romance,City of Angels (1998)
7028,43,Chicago Film Critics Association Awards,1990,Nominee - CFCA Award,Best Actress,When Harry Met Sally... (1989)
7029,43,David di Donatello Awards,1990,Nominee - David,Best Foreign Actress (Migliore Attrice Straniera),When Harry Met Sally... (1989)
7030,43,Edinburgh International Film Festival,2016,Nominee - Audience Award,Ithaca (2015,Ithaca (2015)
7031,43,Elle Women in Hollywood Awards,1999,Winner - Icon Award,Shared with:,
